token,type
used,int[MAXN]
v,int
ptr,int[MAXN]
v,int
g,vector[300000]
v,int
ptr,int[MAXN]
v,int
u,int
g,vector[300000]
v,int
ptr,int[MAXN]
v,int
u,int
res,vector&
res,vector&
u,int
cin,ANY
cin,ANY
n,int
s,int
k,int
a,vector
<tmp>0,vector
<tmp>0,vector
n,int
<tmp>0,vector
i,int
i,int
n,int
i,int
cin,ANY
a,vector
i,int
b,vector
a,vector
b,vector
b,vector
m,int
i,int
i,int
n,int
i,int
a,vector
i,int
b,vector
i,int
m,int
mapa,map
b,vector
i,int
mapa,map
b,vector
i,int
k,int
m,int
s,int
cout,ANY
endl,ANY
i,int
i,int
n,int
i,int
a,vector
i,int
b,vector
i,int
a,vector
i,int
mapa,map
a,vector
i,int
b,vector
i,int
mapa,map
b,vector
i,int
g,vector[300000]
b,vector
i,int
a,vector
i,int
pos,map
b,vector
i,int
a,vector
i,int
i,int
cycles,vector
<tmp>1,vector
<tmp>1,vector
<tmp>1,vector
i,int
i,int
k,int
i,int
used,int[MAXN]
i,int
arr,vector
<tmp>2,vector
<tmp>2,vector
<tmp>2,vector
i,int
arr,vector
arr,vector
arr,vector
cycles,vector
i,int
i,int
arr,vector
i,int
j,int
i,int
arr,vector
cycles,vector
pos,map
arr,vector
i,int
arr,vector
j,int
pos,map
arr,vector
i,int
arr,vector
j,int
res,vector
<tmp>3,vector
<tmp>3,vector
<tmp>3,vector
s,int
m,int
cycles,vector
len,int
cycles,vector
s,int
m,int
res,vector
newcycle,vector
<tmp>4,vector
<tmp>4,vector
<tmp>4,vector
i,int
cycles,vector
len,int
i,int
cycles,vector
i,int
res,vector
cycles,vector
i,int
<iterator>0,std.iterator
cycles,vector
i,int
j,int
<iterator>0,std.iterator
j,int
<iterator>0,std.iterator
newcycle,vector
j,int
res,vector
res,vector
i,int
i,int
len,int
i,int
cycles,vector
cycles,vector
newcycle,vector
i,int
i,int
cycles,vector
i,int
res,vector
cycles,vector
i,int
cout,ANY
res,vector
endl,ANY
i,int
i,int
res,vector
i,int
cout,ANY
res,vector
i,int
endl,ANY
<iterator>1,std.iterator
res,vector
i,int
j,int
<iterator>1,std.iterator
j,int
<iterator>1,std.iterator
cout,ANY
j,int
cout,ANY
endl,ANY
MAXN,int
mapa,map
<tmp>0,map
<tmp>0,map
<tmp>0,map
pos,map
<tmp>1,map
<tmp>1,map
<tmp>1,map
g,vector[300000]
<tmp>2,vector
<tmp>2,vector
<tmp>2,vector
MAXN,int
MAXN,int
cin,ANY
cout,ANY
cin,ANY
n,int
m,int
k,int
to,vector
<tmp>0,vector
<tmp>0,vector
n,int
<tmp>0,vector
edges,vector
<tmp>1,vector
<tmp>1,vector
m,int
<tmp>1,vector
nbr,vector
<tmp>2,vector
<tmp>2,vector
n,int
<tmp>2,vector
i,int
i,int
m,int
i,int
cin,ANY
a,int
b,int
a,int
b,int
nbr,vector
a,int
nbr,vector
b,int
to,vector
a,int
b,int
to,vector
b,int
a,int
edges,vector
i,int
vis,vector
<tmp>3,vector
<tmp>3,vector
n,int
<tmp>3,vector
all,int
n,int
i,int
i,int
n,int
i,int
vis,vector
i,int
nbr,vector
i,int
k,int
q,queue
<tmp>4,queue
<tmp>4,queue
<tmp>4,queue
q,queue
i,int
vis,vector
i,int
all,int
q,queue
cur,int
q,queue
q,queue
<iterator>0,std.iterator
to,vector
cur,int
t,int
<iterator>0,std.iterator
t,int
<iterator>0,std.iterator
nbr,vector
t,int
to,vector
t,int
cur,int
nbr,vector
t,int
k,int
vis,vector
t,int
q,queue
t,int
vis,vector
t,int
all,int
q,queue
<tmp>5,queue
<tmp>5,queue
<tmp>5,queue
answer,vector
<tmp>6,vector
<tmp>6,vector
<tmp>6,vector
answer,vector
all,int
i,int
m,int
i,int
i,int
<tmp>7,ANY
edges,vector
i,int
a,ANY
<tmp>7,ANY
b,ANY
<tmp>7,ANY
vis,vector
a,ANY
vis,vector
b,ANY
to,vector
a,ANY
b,ANY
to,vector
b,ANY
a,ANY
nbr,vector
a,ANY
nbr,vector
b,ANY
nbr,vector
a,ANY
k,int
q,queue
a,ANY
vis,vector
a,ANY
all,int
nbr,vector
b,ANY
k,int
q,queue
b,ANY
vis,vector
b,ANY
all,int
q,queue
cur,int
q,queue
q,queue
<iterator>1,std.iterator
to,vector
cur,int
t,int
<iterator>1,std.iterator
t,int
<iterator>1,std.iterator
nbr,vector
t,int
to,vector
t,int
cur,int
nbr,vector
t,int
k,int
vis,vector
t,int
q,queue
t,int
vis,vector
t,int
all,int
answer,vector
all,int
i,int
answer,vector
i,int
i,int
cout,ANY
answer,vector
i,int
module,int
cin,ANY
n,int
cin,ANY
s,string
cnt1,int
n,int
i,int
i,int
s,string
i,int
s,string
i,int
cnt2,int
cout,ANY
cnt1,int
cnt2,int
endl,ANY
INF,int
LINF,longlong
inv,int[MAXN]
i,int
i,int
n,int
n,int
i,int
inv,int[MAXN]
i,int
M,int
M,int
i,int
inv,int[MAXN]
M,int
i,int
M,int
i,int
i,int
n,int
i,int
pre_inv,int[MAXN]
i,int
pre_inv,int[MAXN]
i,int
inv,int[MAXN]
i,int
M,int
this,map.pad*
KEY,int&
this,map.pad*
VAL,int&
this,map*
ret,map.pad*
this,map*
ret,map.pad*
this,map*
this,map*
ret,map.pad*
key,int&
ret,map.pad*
ret,map.pad*
this,map*
this,map*
new_element,map.pad&
this,map*
this,map*
this,map*
MAXMap,int
MAXMap,int
l,int&
r,int&
h,int&
len,int
r,int&
l,int&
it,map.pad*
Map,map
len,int
it,map.pad*
Map,map
Map,map
len,int
it,map.pad*
mid,int
l,int&
r,int&
l,int&
mid,int
h,int&
mid,int
r,int&
h,int&
ret,int
i,int
i,int
len1,int&
i,int
ret,int
ret,int
inv,int[MAXN]
len2,int&
M,int
pre_inv,int[MAXN]
i,int
len2,int&
pre_inv,int[MAXN]
i,int
M,int
M,int
M,int
ret,int
n,int
k,int
M,int
n,int
k,int
ans,int
it,map.pad*
Map,map
it,map.pad*
Map,map
it,map.pad*
len,int
it,map.pad*
cnt,int
it,map.pad*
ans,int
ans,int
cnt,int
len,int
M,int
len,int
M,int
inv,int[MAXN]
M,int
M,int
it1,map.pad*
Map,map
it1,map.pad*
Map,map
it1,map.pad*
it2,map.pad*
Map,map
it2,map.pad*
Map,map
it2,map.pad*
it1,map.pad*
it2,map.pad*
len,int
it1,map.pad*
cnt,int
it1,map.pad*
it1,map.pad*
M,int
ans,int
ans,int
cnt,int
len,int
len,int
M,int
M,int
it1,map.pad*
it2,map.pad*
len1,int
it1,map.pad*
len2,int
it2,map.pad*
cnt,int
it1,map.pad*
it2,map.pad*
M,int
ans,int
ans,int
cnt,int
len1,int
len2,int
M,int
M,int
ans,int
MAXN,int
MAXN,int
MAXN,int
x,longlong
y,longlong
a,longlong
b,longlong
b,longlong
x,longlong
x,longlong
y,longlong
x,longlong
MOD,longlong
x,longlong
MOD,longlong
y,longlong
y,longlong
y,longlong
y,longlong
MOD,longlong
y,longlong
MOD,longlong
b,longlong
x,longlong
n,longlong
MOD,longlong
MOD,longlong
f,longlong[1000001]
n,longlong
f,longlong[1000001]
r,longlong
MOD,longlong
f,longlong[1000001]
n,longlong
r,longlong
MOD,longlong
MOD,longlong
MOD,longlong
cin,ANY
q,int
q,int
cin,ANY
l,longlong
r,longlong
d,longlong
ans1,longlong
d,longlong
y,longlong
r,longlong
d,longlong
ans2,longlong
y,longlong
d,longlong
d,longlong
l,longlong
cout,ANY
ans2,longlong
endl,ANY
cout,ANY
ans1,longlong
endl,ANY
<operator>.assignment,ANY
<operator>.indirectIndexAccess,ANY
<operator>.lessThan,ANY
<operator>.indirectIndexAccess,ANY
<operator>.cast,int
size,ANY
<operator>.indirectIndexAccess,ANY
<operator>.preIncrement,ANY
<operator>.indirectIndexAccess,ANY
<operator>.assignment,void
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
<operator>.subtraction,ANY
<operator>.indirectIndexAccess,ANY
euler,void
push_back,ANY
sync_with_stdio,ANY
tie,ANY
<operator>.arithmeticShiftRight,ANY
<operator>.arithmeticShiftRight,ANY
<operator>.assignment,void
<operator>.assignment,void
<operator>.assignment,<empty>
<operator>.alloc,<empty>
vector,void
<operator>.addressOf,<empty>
<operator>.assignment,void
<operator>.lessThan,ANY
<operator>.preIncrement,ANY
<operator>.arithmeticShiftRight,ANY
<operator>.indirectIndexAccess,ANY
<operator>.assignment,void
sort,ANY
begin,ANY
end,ANY
<operator>.assignment,void
<operator>.assignment,void
<operator>.lessThan,ANY
<operator>.preIncrement,ANY
<operator>.equals,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
<operator>.preIncrement,ANY
<operator>.logicalNot,ANY
count,ANY
<operator>.indirectIndexAccess,ANY
<operator>.assignment,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
<operator>.postIncrement,ANY
<operator>.greaterThan,ANY
<operator>.shiftLeft,ANY
<operator>.shiftLeft,ANY
<operator>.minus,ANY
<operator>.assignment,void
<operator>.lessThan,ANY
<operator>.preIncrement,ANY
<operator>.equals,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
<operator>.assignment,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
<operator>.assignment,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
push_back,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
push_back,ANY
<operator>.indirectIndexAccess,ANY
<operator>.arrayInitializer,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
<operator>.assignment,void
<operator>.assignment,<empty>
<operator>.alloc,<empty>
vector,void
<operator>.addressOf,<empty>
<operator>.assignment,void
<operator>.lessThan,ANY
<operator>.preIncrement,ANY
<operator>.logicalNot,ANY
<operator>.indirectIndexAccess,ANY
<operator>.assignment,void
<operator>.assignment,<empty>
<operator>.alloc,<empty>
vector,void
<operator>.addressOf,<empty>
euler,void
reverse,ANY
begin,ANY
end,ANY
push_back,ANY
<operator>.arrayInitializer,ANY
<operator>.assignment,void
<operator>.lessThan,ANY
<operator>.cast,int
size,ANY
<operator>.preIncrement,ANY
<operator>.assignment,void
<operator>.modulo,ANY
<operator>.addition,ANY
<operator>.cast,int
size,ANY
push_back,ANY
back,ANY
back,ANY
<operator>.indirectIndexAccess,ANY
<operator>.arrayInitializer,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
pop_back,ANY
<operator>.indirectIndexAccess,ANY
<operator>.arrayInitializer,ANY
<operator>.indirectIndexAccess,ANY
<operator>.indirectIndexAccess,ANY
<operator>.assignment,void
<operator>.assignment,<empty>
<operator>.alloc,<empty>
vector,void
<operator>.addressOf,<empty>
<operator>.logicalAnd,ANY
<operator>.greaterThan,ANY
<operator>.subtraction,ANY
<operator>.greaterThan,ANY
<operator>.cast,int
size,ANY
<operator>.assignment,void
min,ANY
